"filename", "language", "Markdown", "XML", "TypeScript JSX", "TypeScript", "JSON", "CSS", "C#", "JSON with Comments", "HTML", "JavaScript", "MS SQL", "YAML", "comment", "blank", "total"
"c:\utv\Henry\MappingTool\IntegrationMapper.Web\src\components\Systems\SystemDetail.tsx", "TypeScript JSX", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 31
"c:\utv\Henry\MappingTool\IntegrationMapper.Web\src\components\Systems\SystemList.tsx", "TypeScript JSX", 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 69
"c:\utv\Henry\MappingTool\IntegrationMapper.Web\src\index.css", "CSS", 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 8, 69
"c:\utv\Henry\MappingTool\IntegrationMapper.Web\src\main.tsx", "TypeScript JSX", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 26
"c:\utv\Henry\MappingTool\IntegrationMapper.Web\src\services\api.ts", "TypeScript", 0, 0, 0, 212, 0, 0, 0, 0, 0, 0, 0, 0, 3, 40, 255
"c:\utv\Henry\MappingTool\IntegrationMapper.Web\tsconfig.app.json", "JSON", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 3, 29
"c:\utv\Henry\MappingTool\IntegrationMapper.Web\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"c:\utv\Henry\MappingTool\IntegrationMapper.Web\tsconfig.node.json", "JSON", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 3, 27
"c:\utv\Henry\MappingTool\IntegrationMapper.Web\vite.config.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 18
"c:\utv\Henry\MappingTool\README.md", "Markdown", 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 117
"c:\utv\Henry\MappingTool\docs\backend_design.md", "Markdown", 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 81
"c:\utv\Henry\MappingTool\docs\frontend_design.md", "Markdown", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 47
"c:\utv\Henry\MappingTool\docs\openapi.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 4, 17
"c:\utv\Henry\MappingTool\docs\schema.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 0, 2, 7, 57
"c:\utv\Henry\MappingTool\docs\service_ai_mapping.md", "Markdown", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 33
"c:\utv\Henry\MappingTool\docs\service_schema_parsing.md", "Markdown", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 29
"c:\utv\Henry\MappingTool\docs\service_storage.md", "Markdown", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"Total", "-", 303, 72, 1196, 242, 3978, 98, 2441, 7, 13, 22, 48, 13, 179, 887, 9499
